state,party,name,norm_name,match_how,aw_name,aw_party,aw_politician_id,aw_url,aw_wkr,aw_list_pos,source
ST,fdp,Gunnar Salomon,gunnar salomon,exact,Gunnar Salomon,fdp,185051,https://www.abgeordnetenwatch.de/profile/gunnar-salomon,3,10,abgeordnetenwatch
ST,fdp,Johanna Engel,johanna engel,exact,Johanna Engel,fdp,175042,https://www.abgeordnetenwatch.de/profile/johanna-engel,20,12,abgeordnetenwatch
ST,fdp,John Matthias Kaube,john matthias kaube,exact,John Matthias Kaube,fdp,185063,https://www.abgeordnetenwatch.de/profile/john-matthias-kaube,22,17,abgeordnetenwatch
ST,fdp,Jörg Bernstein,joerg bernstein,exact,Jörg Bernstein,fdp,175046,https://www.abgeordnetenwatch.de/profile/joerg-bernstein,26,3,abgeordnetenwatch
ST,fdp,Karsten Pille,karsten pille,exact,Karsten Pille,fdp,138916,https://www.abgeordnetenwatch.de/profile/karsten-pille,31,,abgeordnetenwatch
ST,fdp,Kathrin Tarricone,kathrin tarricone,exact,Kathrin Tarricone,fdp,175049,https://www.abgeordnetenwatch.de/profile/kathrin-tarricone,30,4,abgeordnetenwatch
ST,fdp,Marco Airoldi,marco airoldi,exact,Marco Airoldi,fdp,185064,https://www.abgeordnetenwatch.de/profile/marco-airoldi,23,9,abgeordnetenwatch
ST,fdp,Marco Slotta,marco slotta,exact,Marco Slotta,fdp,185052,https://www.abgeordnetenwatch.de/profile/marco-slotta,4,,abgeordnetenwatch
ST,fdp,Marcus Hillwig,marcus hillwig,exact,Marcus Hillwig,fdp,185066,https://www.abgeordnetenwatch.de/profile/marcus-hillwig,25,,abgeordnetenwatch
ST,fdp,Markus Göhricke,markus goehricke,exact,Markus Göhricke,fdp,185069,https://www.abgeordnetenwatch.de/profile/markus-goehricke,33,,abgeordnetenwatch
ST,fdp,Max Henrik Schröder,max henrik schroeder,exact,Max Henrik Schröder,fdp,183329,https://www.abgeordnetenwatch.de/profile/max-henrik-schroeder,16,,abgeordnetenwatch
ST,fdp,Maximilian Frey,maximilian frey,exact,Maximilian Frey,fdp,185065,https://www.abgeordnetenwatch.de/profile/maximilian-frey,24,,abgeordnetenwatch
ST,fdp,Maximilian Gludau,maximilian gludau,exact,Maximilian Gludau,fdp,175058,https://www.abgeordnetenwatch.de/profile/maximilian-gludau,39,15,abgeordnetenwatch
ST,fdp,Oliver Mank,oliver mank,exact,Oliver Mank,fdp,185053,https://www.abgeordnetenwatch.de/profile/oliver-mank,5,16,abgeordnetenwatch
ST,fdp,Pascal Weiser,pascal weiser,exact,Pascal Weiser,fdp,185054,https://www.abgeordnetenwatch.de/profile/pascal-weiser,7,,abgeordnetenwatch
ST,fdp,Philipp Stavenow,philipp stavenow,exact,Philipp Stavenow,fdp,185067,https://www.abgeordnetenwatch.de/profile/philipp-stavenow,27,,abgeordnetenwatch
ST,fdp,Ramona Hoyer,ramona hoyer,exact,Ramona Hoyer,fdp,175048,https://www.abgeordnetenwatch.de/profile/ramona-hoyer,32,,abgeordnetenwatch
ST,fdp,Steffen Mente,steffen mente,exact,Steffen Mente,fdp,175057,https://www.abgeordnetenwatch.de/profile/steffen-mente,15,,abgeordnetenwatch
ST,fdp,Thomas Dietmar Mothes,thomas dietmar mothes,first_last,Thomas Mothes,fdp,185049,https://www.abgeordnetenwatch.de/profile/thomas-mothes,1,,abgeordnetenwatch
ST,fdp,Thomas Gürke,thomas guerke,exact,Thomas Gürke,fdp,175035,https://www.abgeordnetenwatch.de/profile/thomas-guerke,12,11,abgeordnetenwatch
ST,fdp,Tim Kehrwieder,tim kehrwieder,exact,Tim Kehrwieder,fdp,168788,https://www.abgeordnetenwatch.de/profile/tim-kehrwieder,38,,abgeordnetenwatch
ST,fdp,Torsten Haußmann,torsten haussmann,exact,Torsten Haußmann,fdp,185061,https://www.abgeordnetenwatch.de/profile/torsten-haussmann,18,,abgeordnetenwatch
ST,fdp,Torsten Schaper,torsten schaper,exact,Torsten Schaper,fdp,175053,https://www.abgeordnetenwatch.de/profile/torsten-schaper,36,,abgeordnetenwatch
ST,fw,André Weber,andre weber,exact,André Weber,fw,175189,https://www.abgeordnetenwatch.de/profile/andre-weber,15,1,abgeordnetenwatch
ST,fw,Bianka Willke,bianka willke,exact,Bianka Willke,fw,185074,https://www.abgeordnetenwatch.de/profile/bianka-willke,16,,abgeordnetenwatch
ST,fw,Danny Becker,danny becker,exact,Danny Becker,fw,185073,https://www.abgeordnetenwatch.de/profile/danny-becker,14,10,abgeordnetenwatch
ST,fw,Holger Wenzel,holger wenzel,exact,Holger Wenzel,fw,148378,https://www.abgeordnetenwatch.de/profile/holger-wenzel,27,,abgeordnetenwatch
