wkr,party,partei,name,source
28,cdu,CDU/CSU,Dr. Anne Ringlepp,https://cdu-mv.de/landtagskandidaten2026cdumv/
28,fdp,FDP,Jens Kaufmann,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
28,gruene,GRÜNE,Claudia Tamm,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
28,linke,LINKE,Judith Balck,https://kampagne26.die-linke-mv.de/direktkandidierende/
28,spd,SPD,Jens Strohschein,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
29,afd,AfD,Jens Schulze-Wiehenbrauk,https://afd-mv.de/blaue-wende-2026/#Kandidaten
29,cdu,CDU/CSU,Kai Dröse,https://cdu-mv.de/landtagskandidaten2026cdumv/
29,fdp,FDP,Christian Bartelt,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
29,gruene,GRÜNE,Jan van den Bosch,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
29,linke,LINKE,Jeannine Rösler,https://kampagne26.die-linke-mv.de/direktkandidierende/
29,spd,SPD,Marcel Falk,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
30,afd,AfD,Stephan J. Reuken,https://afd-mv.de/blaue-wende-2026/#Kandidaten
30,bsw,BSW,Christian Schuldt,https://mv.bsw-vg.de/unsere-direktkandidaten/
30,cdu,CDU/CSU,Jeannette von Busse,https://cdu-mv.de/landtagskandidaten2026cdumv/
30,fdp,FDP,Jakob Schirmer,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
30,gruene,GRÜNE,Elias Gühne,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
30,linke,LINKE,Andre Retzlaff,https://kampagne26.die-linke-mv.de/direktkandidierende/
30,spd,SPD,Falko Beitz,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
31,afd,AfD,Thore Stein,https://afd-mv.de/blaue-wende-2026/#Kandidaten
31,bsw,BSW,Peter Schabbel,https://mv.bsw-vg.de/unsere-direktkandidaten/
31,cdu,CDU/CSU,Wolfgang Waldmüller,https://cdu-mv.de/landtagskandidaten2026cdumv/
31,fdp,FDP,Wolfgang Schulz,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
31,gruene,GRÜNE,Brigitte Kowalsky,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
31,linke,LINKE,Steffi Pulz-Debler,https://kampagne26.die-linke-mv.de/direktkandidierende/
31,spd,SPD,Christian Brade,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
32,afd,AfD,Jan-Phillip Tadsen,https://afd-mv.de/blaue-wende-2026/#Kandidaten
32,bsw,BSW,Sabine Firnhaber,https://mv.bsw-vg.de/unsere-direktkandidaten/
32,cdu,CDU/CSU,Karin Ihde-Lütge,https://cdu-mv.de/landtagskandidaten2026cdumv/
32,fdp,FDP,Brigitte Gantke,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
32,gruene,GRÜNE,Jürn Kudla,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
