adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B5A,04,B,27,352.0,0.0,14.773,16.456,49.148,30.696,9.943,12.342,1.705,5.696,3.693,9.494,17.045,18.671,3.693,6.646
04B5B,04,B,27,665.0,0.0,17.444,16.986,51.88,31.507,7.368,12.055,2.857,5.753,3.158,9.589,12.932,18.356,4.361,5.753
04B5C,04,B,27,352.0,0.0,13.068,16.272,53.125,31.361,13.636,12.13,2.557,5.621,1.989,9.467,11.648,19.231,3.977,5.917
04B5D,04,B,27,323.0,0.0,22.601,18.478,33.746,27.536,16.099,13.768,5.263,6.884,4.334,9.783,9.598,16.304,8.359,7.246
04B5E,04,B,27,691.0,0.0,19.682,19.427,34.732,27.389,20.984,14.65,7.381,7.006,2.75,9.873,8.683,15.924,5.789,5.732
04B5F,04,B,27,368.0,0.0,22.554,19.636,30.707,26.182,21.739,14.545,5.978,6.909,4.076,10.182,8.424,15.636,6.522,6.909
04B5G,04,B,27,511.0,0.0,20.744,20.984,33.464,24.611,21.722,15.544,5.871,7.513,3.914,10.363,8.806,14.508,5.479,6.477
04B5H,04,B,27,424.0,0.0,19.575,19.472,36.085,26.733,25.943,14.851,5.189,6.931,2.123,10.231,5.66,17.162,5.425,4.62
04B5I,04,B,27,386.0,0.0,21.244,19.084,36.528,27.481,19.689,14.504,4.145,6.87,4.663,9.924,8.29,17.176,5.44,4.962
04B5J,04,B,27,635.0,0.0,23.78,19.753,39.055,27.16,14.803,15.123,4.252,6.79,5.827,10.185,6.929,16.975,5.354,4.012
04B5K,04,B,27,274.0,0.0,21.168,19.164,27.007,27.875,16.423,13.937,7.664,6.969,6.569,10.453,9.489,17.073,11.679,4.53
04B5L,04,B,27,722.0,0.0,19.668,19.792,33.102,27.344,23.407,14.062,5.263,7.031,3.74,10.677,9.28,16.667,5.54,4.427
04B5M,04,B,27,628.0,0.0,25.0,20.964,27.707,26.265,24.522,16.386,5.255,7.711,4.777,9.88,6.051,14.458,6.688,4.337
04B5N,04,B,27,439.0,0.0,19.134,20.499,38.724,26.593,16.629,16.066,6.378,7.479,4.784,9.972,7.973,15.235,6.378,4.155
04B5P,04,B,27,339.0,0.0,17.994,18.241,39.528,30.293,14.454,13.355,5.31,6.515,6.785,10.423,8.26,17.264,7.67,3.909
04B5Q,04,B,27,442.0,0.0,19.457,18.182,44.344,30.721,16.516,13.166,2.941,6.583,2.715,10.345,8.824,17.241,5.204,3.762
04B5R,04,B,27,371.0,0.0,9.973,18.256,52.291,31.608,9.164,11.444,1.078,5.45,7.278,8.992,17.251,21.253,2.965,2.997
04B5S,04,B,27,324.0,0.0,18.519,18.208,50.617,31.503,9.259,11.561,3.086,5.491,5.556,9.249,6.79,20.809,6.173,3.179
04B5T,04,B,27,515.0,0.0,10.485,14.536,60.583,34.336,7.184,11.278,1.165,4.762,2.136,10.777,17.087,21.554,1.359,2.757
04B5U,04,B,27,468.0,0.0,15.812,14.66,54.274,34.293,9.188,11.257,2.778,4.974,4.274,10.733,11.538,21.204,2.137,2.88
04B5V,04,B,27,331.0,0.0,19.637,19.203,43.807,28.986,13.897,14.13,5.438,6.884,3.927,10.145,7.251,16.667,6.042,3.986
04B5W,04,B,27,263.0,0.0,18.631,18.952,33.84,28.226,26.236,14.516,4.943,6.452,3.042,10.484,11.027,17.339,2.281,4.032
04B6A,04,B,28,643.0,0.0,19.751,21.829,33.281,21.534,22.084,20.354,7.932,7.08,2.644,8.26,7.932,13.274,6.376,7.67
04B6B,04,B,28,674.0,0.0,19.436,22.636,30.712,21.203,27.745,20.63,5.935,7.736,2.671,7.736,9.496,13.467,4.006,6.59
04B6C,04,B,28,305.0,0.0,25.574,21.908,29.18,21.555,23.279,20.495,5.902,7.42,2.623,8.127,8.197,13.428,5.246,7.067
